0017;12200/12273
0080;12200/12278
0109;12200/12294
0303;11900/11991
0327;11900/11957
0348;12000/12046
0350;12000/12050
0353;08800/08838
0359;12000/12036
0385;12200/12277
0386;12200/12272
0437;12000/12045
0438;12000/12030
0439;12000/12023
0441;12000/12035
0458;12000/12022
0460;12000/12031
0461;12200/12282
0468;12000/12027
0492;12000/12039
0493;12000/12020
0510;12000/12019
0531;12100/12124
0540;03600/03614
0662;12300/12387
0683;12300/12388
0686;12700/12742
0687;12600/12640
0774;12300/12374
0815;12500/12550
0820;12600/12680
0858;12200/12281
0869;12200/12295
0945;12700/12774
0952;12700/12770
0953;12500/12594
0954;12600/12681
0956;12100/12140
0957;12100/12139
0998;12700/12741
1102;12700/12728
1166;12500/12549
1118;12700/12757
1629;12500/12580
